AB        R        H        2B        3B        HR
139        567        509        67        131        20
339        47        91        15        2        9
170        20        40        5        1        4
133        538        499        59        124        24
259        34        70        17        3        7
240        25        54        7        4        7
5        1        1        0        0        0
449        49        113        29        1        7
16        1        4        1        0        0
337        36        86        9        7        9
90        78        13        19        6        1
130        16        43        11        1        3
527        82        163        34        2        32
629        97        191        34        0        40
612        94        186        25        2        40
645        108        206        28        4        46
615        83        169        24        1        33
8        1        3        1        0        1
331        22        73        9        1        6
146        581        538        69        140        34
93        7        20        6        0        2
445        62        120        28        1        23
543        56        126        23        2        12
542        65        150        28        3        22
583        93        158        43        3        35
494        53        125        36        1        12
291        275        26        63        10        0
34        31        6        12        3        0
30        5        6        1        0        1
254        24        59        10        0        4
21        2        4        0        0        1
63        9        22        3        0        5
28        4        6        1        0        2
113        16        33        7        0        7
12        0        1        0        0        0
