idFormulario1;numEjemplarF1;fecha;esHospedaje;idMacrozona;idZonaGrupo;idCoordinador;idSupervisor;idAtractor;clave catastral;referencia;idNovedad
1;1;02/03/2020;true;1;1;1;1;3;1.02E+16;Hostal y bazar;Ninguna
2;2;02/03/2020;false;1;1;1;1;3;1.02E+16;librer«ü∂a;Ninguna
3;3;02/03/2020;false;1;1;1;1;3;1.02E+16;Arte y bordado;Se niegan a llenar la encuesta
4;4;02/03/2020;false;1;1;1;1;3;1.02E+16;foto estudio claridad;Ninguna
5;5;02/03/2020;false;1;1;1;1;4;1.02E+16;venta de hilos;Ninguna
6;6;02/03/2020;false;1;1;1;1;6;1.02E+16;CORAL EXPRES;El predio desarrolla otras actividades de comercio y/o servicios
7;7;02/03/2020;false;1;1;1;1;4;1.02E+16;amrilla,esquina funciona 4 comercios;Otra
8;8;02/03/2020;false;1;1;1;1;3;1.02E+16;rey moda;Otra
9;9;02/03/2020;false;1;1;1;1;3;1.02E+16;ventas de trajes HENRY;Ninguna
10;10;02/03/2020;false;1;1;1;1;3;1.02E+16;confecciones trajes;Se niegan a llenar la encuesta
11;11;02/03/2020;false;1;1;1;1;3;1.02E+16;venta de hilos;Se niegan a llenar la encuesta
12;12;02/03/2020;false;1;1;1;1;4;1.02E+16;papeleria Hno Miguel;Ninguna
13;13;02/03/2020;false;1;1;1;1;3;1.02E+16;confecciones trajes;Se niegan a llenar la encuesta
14;14;02/03/2020;false;1;1;1;1;4;1.02E+16;compra oro,joyas usadas;Ninguna
15;15;02/03/2020;false;1;1;1;1;3;1.02E+16;1planta alta, puertas grandes de madera;El horario de atencion no coincide con el horario del barrido
16;16;02/03/2020;false;1;1;1;1;4;1.02E+16;artesanias;Ninguna
17;18;02/03/2020;false;1;1;1;1;4;1.02E+16;renovadora de calzadoy ropa;Ninguna
18;19;02/03/2020;false;1;1;1;1;4;1.02E+16;Telemetro;Ninguna
