numEjemplar;formulario1Ligado;fecha;macrozona;clave catastral;coordinador;supervisor;referencia;tipoAtractor;edificioMixto;hora inicio fin dj;hora in fin ju;HORARIO ATENCION;ID HORARIO ATENCION;TIPO JORNADA HA;numeroClientesAtendidosXsemana;numeroClientesQuePodrianAtenderMaxXsemana;HORARIO TRABAJADOR;Id HORARIO TRABAJADOR;TIPO JORNADA HL
1;1;3/2/2020;A;CC0102041041000;1;1;Confecciones de vestidos;Comercio y/o de Servicios;false;;;no       tiene  ;91;1;30;70;De 05:00 a 19:00;8;3
1;68;17/2/2020;C;CC1407096041000;1;1;edificio de 4 pisos con comercio en la parte de abajo tienda en la calle san pablo del lago;"Conjunto Habitacional
";false;;De 07:00 a 19:00;De 07:00 a 19:00;17;2;100;120;De 07:00 a 13:00;14;1
2;2;3/2/2020;A;CC0102041040000;1;1;librerÄ–a;Comercio y/o de Servicios;false;De 07:00 a 21:00;;De 07:00 a 21:00;18;2;500;1000;De 05:00 a 13:00;5;2
2;71;17/2/2020;C;CC1407014009000;1;1;casa de 3 pisos papeleria en la parte de abajo entre la oso huayco y la toreadora;"Conjunto Habitacional
";false;;De 07:00 a 21:00;De 07:00 a 21:00;18;4;180;200;De 07:00 a 17:00;16;2
3;19;3/2/2020;A;CC0102048011000;1;1;Local de ropa;Comercio y/o de Servicios;true;;De 07:00 a 19:00;De 07:00 a 19:00;17;1;120;250;De 09:00 a 17:00;35;1
3;40;10/2/2020;A;CC0201023031000;1;1;residencial sanchez edificio de 4 pisos con comercio restarante parte de abajo;"Conjunto Habitacional
";false;;De 10:00 a 19:00;De 10:00 a 19:00;45;4;200;200;De 08:00 a 13:00;24;2
4;4;3/2/2020;A;CC0102041039000;1;1;Foto Claridad;Comercio y/o de Servicios;false;De 09:00 a 21:00;;De 09:00 a 21:00;31;1;60;200;De 07:00 a 15:00;15;2
4;41;10/2/2020;A;CC0201023032000;1;1;edificio de 4 pisos con comercio hay una panaderia ÙãÙãmarisolÙãÙã en la antonio vega muÄ§oz;"Conjunto Habitacional
";false;;De 07:00 a 21:00;De 07:00 a 21:00;18;1;150;150;De 08:00 a 10:00;23;4
5;5;3/2/2020;A;CC0102041037000;1;1;Venta de hilos;Comercio y/o de Servicios;true;De 08:00 a 19:00;;De 08:00 a 19:00;27;4;50;200;De 08:00 a 13:00;24;2
5;42;10/2/2020;A;CC0201023036000;1;1;edificio de 6 pisoso con comercio ropa interior calle antonio vega muÄ§oz;"Conjunto Habitacional
";false;De 08:00 a 19:00;;De 08:00 a 19:00;27;1;100;100;De 08:00 a 17:00;26;3
