idFormulario1;numEjemplarF1;fecha;esHospedaje;idMacrozona;idZonaGrupo;idCoordinador;idSupervisor;idAtractor;clave catastral;referencia;idNovedad
1;1;2/3/2020;true;A;Centro Historico;1;1;3;CC0102041041000;Hostal y bazar;Ninguna
2;2;2/3/2020;false;A;Centro Historico;1;1;3;CC0102041040000;librer«ü∂a;Ninguna
3;3;2/3/2020;false;A;Centro Historico;1;1;3;CC0102041038000;Arte y bordado;Se niegan a llenar la encuesta
4;4;2/3/2020;false;A;Centro Historico;1;1;3;CC0102041039000;foto estudio claridad;Ninguna
5;5;2/3/2020;false;A;Centro Historico;1;1;4;CC0102041037000;venta de hilos;Ninguna
6;6;2/3/2020;false;A;Centro Historico;1;1;6;CC0102041036000;CORAL EXPRES;El predio desarrolla otras actividades de comercio y/o servicios
7;7;2/3/2020;false;A;Centro Historico;1;1;4;CC0102041035000;amrilla,esquina funciona 4 comercios;Otra
8;8;2/3/2020;false;A;Centro Historico;1;1;3;CC0102041034000;rey moda;Otra
9;9;2/3/2020;false;A;Centro Historico;1;1;3;CC0102041033000;ventas de trajes HENRY;Ninguna
10;10;2/3/2020;false;A;Centro Historico;1;1;3;CC0102041032000;confecciones trajes;Se niegan a llenar la encuesta
11;11;2/3/2020;false;A;Centro Historico;1;1;3;CC0102041031000;venta de hilos;Se niegan a llenar la encuesta
12;12;2/3/2020;false;A;Centro Historico;1;1;4;CC0102041030000;papeleria Hno Miguel;Ninguna
13;13;2/3/2020;false;A;Centro Historico;1;1;3;CC0102041029000;confecciones trajes;Se niegan a llenar la encuesta
14;14;2/3/2020;false;A;Centro Historico;1;1;4;CC0102041028000;compra oro,joyas usadas;Ninguna
15;15;2/3/2020;false;A;Centro Historico;1;1;3;CC0102041027000;1planta alta, puertas grandes de madera;El horario de atencion no coincide con el horario del barrido
16;16;2/3/2020;false;A;Centro Historico;1;1;4;CC0102041026000;artesanias;Ninguna
17;18;2/3/2020;false;A;Centro Historico;1;1;4;CC0102041024000;renovadora de calzadoy ropa;Ninguna
18;19;2/3/2020;false;A;Centro Historico;1;1;4;CC0102048011000;Telemetro;Ninguna
19;20;2/3/2020;false;A;Centro Historico;1;1;4;CC0102048009000;BAZAR LALITA;Se niegan a llenar la encuesta
20;21;2/3/2020;false;A;Centro Historico;1;1;4;CC0102041001000;Tienda esquinera Tarqui y Sucre;Ninguna
21;22;2/3/2020;false;A;Centro Historico;1;1;4;CC0102041002000;La Casa del Pan;Otra
22;23;2/3/2020;false;A;Centro Historico;1;1;4;CC0102041003000;La Pi«ü∂Òata;Otra
23;24;2/3/2020;false;A;Centro Historico;1;1;3;CC0102041004000;Solcuero;Otra
24;25;2/3/2020;false;A;Centro Historico;1;1;3;CC0102041005000;Celtekvir;Ninguna
25;26;2/3/2020;false;A;Centro Historico;1;1;4;CC0102041006000;Parqueadero;Ninguna
26;27;2/3/2020;false;A;Centro Historico;1;1;3;CC0102041047000;INGESA;Ninguna
27;28;2/3/2020;false;A;Centro Historico;1;1;18;CC0102041008000;JEP;Ninguna
28;29;2/3/2020;false;A;Centro Historico;1;1;4;CC0102041043000;Tienda de globos y Variedades Ceci;Ninguna
29;30;2/3/2020;false;A;Centro Historico;1;1;3;CC0102041045000;BLUE BERRY ICE CREAM;Ninguna
30;31;2/3/2020;false;A;Centro Historico;1;1;4;CC0102041010000;Costurera;Ninguna
